Time,Open,High,Low,Close,Volume
05.11.2012 12:46:00,1.27749,1.27768,1.27749,1.27766,142.77
05.11.2012 12:47:00,1.27766,1.27766,1.27753,1.27763,128.5
05.11.2012 12:48:00,1.27765,1.27775,1.27761,1.27767,110.95
05.11.2012 12:49:00,1.27767,1.27785,1.27767,1.27778,283.69
05.11.2012 12:50:00,1.27779,1.27815,1.27779,1.27797,364.85
05.11.2012 12:51:00,1.27797,1.27805,1.27784,1.2779,169.02
05.11.2012 12:52:00,1.27789,1.27792,1.27779,1.27791,117.06
05.11.2012 12:53:00,1.27793,1.27819,1.27791,1.27819,242.29
05.11.2012 12:54:00,1.27824,1.27841,1.27812,1.27815,355.6
05.11.2012 12:55:00,1.27813,1.27816,1.27802,1.27814,119.54
05.11.2012 12:56:00,1.27813,1.27814,1.2781,1.27813,26.36
05.11.2012 12:57:00,1.27814,1.27822,1.27813,1.27819,94.91
05.11.2012 12:58:00,1.27821,1.27824,1.27811,1.27823,80.73
05.11.2012 12:59:00,1.27825,1.27825,1.27814,1.27816,79.66
05.11.2012 13:00:00,1.27816,1.27822,1.27794,1.27794,156.69
05.11.2012 13:01:00,1.27793,1.27794,1.27783,1.27784,109.4
05.11.2012 13:02:00,1.27784,1.27785,1.27774,1.27774,171.26
05.11.2012 13:03:00,1.27774,1.27797,1.27774,1.27797,119.44
05.11.2012 13:04:00,1.27797,1.27797,1.27762,1.27762,134.93
05.11.2012 13:05:00,1.27758,1.27765,1.27744,1.2775,218.9
05.11.2012 13:06:00,1.2775,1.2775,1.2773,1.27745,103.1
05.11.2012 13:07:00,1.27745,1.27759,1.27745,1.27759,113.17
05.11.2012 13:08:00,1.27759,1.27763,1.27735,1.27742,141.72
05.11.2012 13:09:00,1.27742,1.2775,1.27734,1.27734,166.01
05.11.2012 13:10:00,1.27733,1.2777,1.27733,1.27767,195.71
05.11.2012 13:11:00,1.27767,1.27768,1.27747,1.27758,258.54
05.11.2012 13:12:00,1.27757,1.27777,1.27755,1.27773,137.97
05.11.2012 13:13:00,1.27775,1.27778,1.2776,1.2776,74.19
05.11.2012 13:14:00,1.2776,1.27788,1.27758,1.27779,197.48
05.11.2012 13:15:00,1.27774,1.27813,1.27774,1.27797,286.13
05.11.2012 13:16:00,1.27797,1.27802,1.27793,1.27797,134.74
05.11.2012 13:17:00,1.27801,1.27815,1.27801,1.27805,77.46
05.11.2012 13:18:00,1.27806,1.27817,1.27803,1.27814,163.96
05.11.2012 13:19:00,1.27814,1.27836,1.27813,1.27826,126.94
05.11.2012 13:20:00,1.27826,1.27835,1.27817,1.27835,159.54
05.11.2012 13:21:00,1.27835,1.27841,1.27832,1.27833,131.17
05.11.2012 13:22:00,1.27831,1.27833,1.2782,1.27822,84.14
05.11.2012 13:23:00,1.27823,1.27823,1.27794,1.27803,188.35
05.11.2012 13:24:00,1.27805,1.27805,1.27779,1.27797,148.24
05.11.2012 13:25:00,1.27795,1.27818,1.27795,1.27818,168.69
05.11.2012 13:26:00,1.27819,1.27821,1.27815,1.27816,79.55
05.11.2012 13:27:00,1.27815,1.27821,1.27793,1.27796,123.58
05.11.2012 13:28:00,1.27796,1.27803,1.27789,1.27803,64.26
05.11.2012 13:29:00,1.27803,1.27816,1.27799,1.27816,152.84
05.11.2012 13:30:00,1.27811,1.27861,1.27806,1.27853,189.22
05.11.2012 13:31:00,1.27854,1.27869,1.2785,1.27855,241.99
05.11.2012 13:32:00,1.27856,1.27864,1.27853,1.27864,99.75
05.11.2012 13:33:00,1.27861,1.27861,1.27837,1.27856,249.81
05.11.2012 13:34:00,1.27856,1.27856,1.27835,1.27836,67.38
05.11.2012 13:35:00,1.27836,1.27862,1.27833,1.27857,150.81
05.11.2012 13:36:00,1.27854,1.27869,1.27851,1.27867,152.04
05.11.2012 13:37:00,1.27867,1.27879,1.27848,1.27877,170.03
05.11.2012 13:38:00,1.27875,1.27892,1.27875,1.27884,170.88
05.11.2012 13:39:00,1.27885,1.27916,1.2788,1.27907,224.89
05.11.2012 13:40:00,1.279,1.2793,1.27896,1.2792,364.92
05.11.2012 13:41:00,1.27921,1.27941,1.27921,1.27926,187.87
05.11.2012 13:42:00,1.27925,1.27939,1.27916,1.27918,267.17
05.11.2012 13:43:00,1.27915,1.27916,1.27904,1.27905,203.54
05.11.2012 13:44:00,1.27907,1.27907,1.27893,1.27899,155.87
05.11.2012 13:45:00,1.27899,1.27904,1.27885,1.27895,153.11
05.11.2012 13:46:00,1.27894,1.27903,1.2789,1.27897,159.98
05.11.2012 13:47:00,1.27897,1.27909,1.27892,1.27896,204.83
05.11.2012 13:48:00,1.27898,1.27905,1.27875,1.27889,105.34
05.11.2012 13:49:00,1.27886,1.27905,1.27882,1.27896,143.93
05.11.2012 13:50:00,1.27897,1.27906,1.27894,1.27906,89.29
05.11.2012 13:51:00,1.27907,1.27911,1.27904,1.27911,33.34
05.11.2012 13:52:00,1.27911,1.27911,1.27887,1.27908,255.49
05.11.2012 13:53:00,1.27906,1.27915,1.27906,1.27906,95.46
05.11.2012 13:54:00,1.27906,1.27915,1.2789,1.27904,96.72
05.11.2012 13:55:00,1.27899,1.27912,1.27896,1.27904,160.25
05.11.2012 13:56:00,1.27905,1.27921,1.27894,1.27915,175.45
05.11.2012 13:57:00,1.27915,1.27924,1.27906,1.27923,253.94
05.11.2012 13:58:00,1.27923,1.27924,1.27914,1.27918,85.39
05.11.2012 13:59:00,1.27918,1.27919,1.27887,1.27896,224.98
05.11.2012 14:00:00,1.27896,1.27896,1.27853,1.27856,245.22
